date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:25	95030/95030	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jan%202017%2016:40:16%20GMT	http://arvixe.webdgallery.com/demo/img/b-1.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/b-1.jpg	(from )
14:06:26	40564/40564	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jan%202017%2016:36:22%20GMT	http://arvixe.webdgallery.com/demo/img/b-3.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/b-3.jpg	(from )
14:06:26	4948/4948	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Jan%202017%2017:23:04%20GMT	http://arvixe.webdgallery.com/demo/img/client.jpg	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/client.jpg	(from )
14:06:29	18953/18953	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202017%2018:17:10%20GMT	http://arvixe.webdgallery.com/demo/img/c-1.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/c-1.png	(from )
14:06:30	23280/23280	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202017%2018:17:38%20GMT	http://arvixe.webdgallery.com/demo/img/c-2.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/c-2.png	(from )
14:06:33	22708/22708	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202017%2018:18:02%20GMT	http://arvixe.webdgallery.com/demo/img/c-3.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/c-3.png	(from )
14:06:33	15837/15837	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202017%2018:18:22%20GMT	http://arvixe.webdgallery.com/demo/img/c-4.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/c-4.png	(from )
14:06:37	18797/18797	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jan%202017%2018:18:42%20GMT	http://arvixe.webdgallery.com/demo/img/c-5.png	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/img/c-5.png	(from )
14:06:43	37045/37045	---M--	200	added ('OK')	application/javascript	date:Fri,%2019%20Aug%202016%2013:37:34%20GMT	http://arvixe.webdgallery.com/demo/vendor/bootstrap/js/bootstrap.min.js	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/bootstrap/js/bootstrap.min.js	(from )
14:06:49	33933/33933	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Nov%202016%2010:38:36%20GMT	http://arvixe.webdgallery.com/demo/vendor/bootstrap-select/dist/js/bootstrap-select.min.js	C:/Users/TCHOUFA/Desktop/template_with_httrack/teml/arvixe.webdgallery.com/demo/vendor/bootstrap-select/dist/js/bootstrap-select.min.js	(from )
